subj_nr,group,subj_group,block,trial_nr,threat_cond,order,contr,active_contr,trials_total,contr_block_1,contr_1,contr_2,contr_3,svo_angle,alpha,svo_type,svoType_num,cluster_nr,freer,basSCR,absSCR,basHR,absHR,gender,age,field_study,exit_quest.1.player.alarmed_1,exit_quest.1.player.grieved_2,exit_quest.1.player.sympathetic_3,exit_quest.1.player.intrigued_4,exit_quest.1.player.softhearted_5,exit_quest.1.player.troubled_6,exit_quest.1.player.warm_7,exit_quest.1.player.heavy_hearted_8,exit_quest.1.player.distressed_9,exit_quest.1.player.low_spirited_10,exit_quest.1.player.self_confident_11,exit_quest.1.player.compassionate_12,exit_quest.1.player.upset_13,exit_quest.1.player.disturbed_14,exit_quest.1.player.tender_15,exit_quest.1.player.worried_16,exit_quest.1.player.moved_17,exit_quest.1.player.sorrowful_18,exit_quest.1.player.feeling_low_19,exit_quest.1.player.uneasy_20,empathic_concern_score,emotional_distress_score,shock_num,real,shock_intens,mild_intens,identity,confidentiality,observed,motivation,prior_experience,prior_knowledge,knowing_eachother
1,10,1,1,1,safe,1,1,1,1,NA,NA,NA,NA,7.81529,0.13725,Individualist,1,3,0,-0.4071698019,17.4800913,5.588466119,103.890846,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,1,mild,3,1,1,21,1,NA,NA,NA,7.81529,0.13725,Individualist,1,3,0,1.043173781,13.16321298,5.368561831,97.80844156,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,1,threat,2,1,1,11,1,NA,NA,NA,7.81529,0.13725,Individualist,1,3,0,3.812577419,16.06570642,-1.713261089,91.72924977,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,2,safe,1,1,1,2,NA,1,NA,NA,7.81529,0.13725,Individualist,1,3,0,4.033716789,21.92097789,1.422530564,99.68028687,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,2,mild,3,1,1,22,NA,1,NA,NA,7.81529,0.13725,Individualist,1,3,0,0.17873983,12.29877903,2.838406683,94.15318157,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,2,threat,2,1,1,12,NA,1,NA,NA,7.81529,0.13725,Individualist,1,3,0,4.229438903,16.4825679,4.925986492,96.47971077,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,3,safe,1,1,1,3,NA,1,1,NA,7.81529,0.13725,Individualist,1,3,0,-0.4601926264,17.42706847,-0.637835571,99.12558737,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,3,mild,3,1,1,23,NA,1,1,NA,7.81529,0.13725,Individualist,1,3,0,1.767639117,13.88767832,1.796103171,94.77575995,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,3,threat,2,2,1,13,NA,1,1,NA,7.81529,0.13725,Individualist,1,3,0,3.992068432,16.24519743,0.3541363538,93.52683516,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
1,10,1,1,4,safe,1,1,1,4,NA,1,1,1,7.81529,0.13725,Individualist,1,3,0,-1.618854538,16.26840656,-2.261697132,96.89345856,1,22,Physics,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,18,5,4,2,5,5,3,NA,NA,NA,NA
